protein_id,viral_family
sp|Q6SVX3|US34A_HCMVM,Herpesviridae
sp|Q6SVZ0|US16_HCMVM,Herpesviridae
sp|Q6SW10|UL133_HCMVM,Herpesviridae
sp|Q6SW14|UL139_HCMVM,Herpesviridae
sp|Q6SW31|UL120_HCMVM,Herpesviridae
sp|Q6SW34|UL116_HCMVM,Herpesviridae
sp|Q6SW48|UL95_HCMVM,Herpesviridae
sp|Q6SW50|CVC1_HCMVM,Herpesviridae
sp|Q6SW55|UL87_HCMVM,Herpesviridae
sp|Q6SW63|UL79_HCMVM,Herpesviridae
sp|Q6SW65|CVC2_HCMVM,Herpesviridae
sp|Q6SW79|UL52_HCMVM,Herpesviridae
sp|Q6SW87|RIR1_HCMVM,Herpesviridae
sp|Q6SW89|UL43_HCMVM,Herpesviridae
sp|Q6SW92|UL40_HCMVM,Herpesviridae
sp|Q6SWA0|UL31_HCMVM,Herpesviridae
sp|Q6SWA3|UL298_HCMVM,Herpesviridae
sp|Q6SWB7|UL14_HCMVM,Herpesviridae
sp|Q6SWB8|UL13_HCMVM,Herpesviridae
sp|Q6SWC0|UL10_HCMVM,Herpesviridae
sp|Q6SWC4|UL06_HCMVM,Herpesviridae
sp|Q6SWC6|UL04_HCMVM,Herpesviridae
sp|Q6SWC8|UL01_HCMVM,Herpesviridae
sp|Q6SWC9|RL13_HCMVM,Herpesviridae
sp|Q6SWD1|RL11_HCMVM,Herpesviridae
sp|C1BEG3|UL74A_HCMVM,Herpesviridae
sp|F5H8S6|US24_HCMVM,Herpesviridae
sp|F5H991|US26_HCMVM,Herpesviridae
sp|F5H9I4|US13_HCMVM,Herpesviridae
sp|F5H9N9|US17_HCMVM,Herpesviridae
sp|F5HAK6|U148B_HCMVM,Herpesviridae
sp|F5HAM4|US31_HCMVM,Herpesviridae
sp|F5HAS7|UL92_HCMVM,Herpesviridae
sp|F5HCK7|UL140_HCMVM,Herpesviridae
sp|F5HD03|US32_HCMVM,Herpesviridae
sp|F5HDE7|U148C_HCMVM,Herpesviridae
sp|F5HE69|US18_HCMVM,Herpesviridae
sp|F5HEF3|US34_HCMVM,Herpesviridae
sp|F5HF23|RL5A_HCMVM,Herpesviridae
sp|F5HFH0|US15_HCMVM,Herpesviridae
sp|F5HFJ8|UL91_HCMVM,Herpesviridae
sp|F5HG95|US29_HCMVM,Herpesviridae
sp|F5HGC2|UL30_HCMVM,Herpesviridae
sp|F5HGH8|US20_HCMVM,Herpesviridae
sp|F5HH39|UL21A_HCMVM,Herpesviridae
sp|F5HHL7|U148D_HCMVM,Herpesviridae
sp|F5HHT4|UL17_HCMVM,Herpesviridae
sp|F5HHT6|US21_HCMVM,Herpesviridae
sp|F5HI68|UL19_HCMVM,Herpesviridae
sp|F7V996|RL9A_HCMVM,Herpesviridae
sp|F7V998|U150A_HCMVM,Herpesviridae
sp|F7V999|US33A_HCMVM,Herpesviridae
sp|Q6SW03|US01_HCMVM,Herpesviridae
sp|Q6SW05|UL150_HCMVM,Herpesviridae
sp|Q6SW82|UL49_HCMVM,Herpesviridae
sp|Q6SWC5|UL05_HCMVM,Herpesviridae
sp|Q6SWC7|UL02_HCMVM,Herpesviridae
sp|Q6SWD0|RL12_HCMVM,Herpesviridae
sp|Q6SWD3|IR06_HCMVM,Herpesviridae
sp|P09257|GB_VZVD,Herpesviridae
sp|P09259|GE_VZVD,Herpesviridae
sp|P09251|US03_VZVD,Herpesviridae
sp|P09255|ICP22_VZVD,Herpesviridae
sp|P09256|GC_VZVD,Herpesviridae
sp|P09258|GI_VZVD,Herpesviridae
sp|P09263|TEG5_VZVD,Herpesviridae
sp|P09269|ICP27_VZVD,Herpesviridae
sp|P09278|LTP_VZVD,Herpesviridae
sp|P09286|SCAF_VZVD,Herpesviridae
sp|P09309|IE61_VZVD,Herpesviridae
sp|P09310|ICP4_VZVD,Herpesviridae
sp|P09312|US9_VZVD,Herpesviridae
sp|P09246|DNBI_VZVD,Herpesviridae
sp|P09247|RIR2_VZVD,Herpesviridae
sp|P09248|RIR1_VZVD,Herpesviridae
sp|P09250|KITH_VZVD,Herpesviridae
sp|P09252|DPOL_VZVD,Herpesviridae
sp|P09260|GH_VZVD,Herpesviridae
sp|P09261|GK_VZVD,Herpesviridae
sp|P09265|VP16_VZVD,Herpesviridae
sp|P09276|TRX1_VZVD,Herpesviridae
sp|P09279|SCP_VZVD,Herpesviridae
sp|P09290|UL20_VZVD,Herpesviridae
sp|P09296|UL13_VZVD,Herpesviridae
sp|P09297|CEP3_VZVD,Herpesviridae
sp|P09298|GM_VZVD,Herpesviridae
sp|P09299|OBP_VZVD,Herpesviridae
sp|P09308|GL_VZVD,Herpesviridae
sp|Q65ZG0|GN_VZVD,Herpesviridae
sp|P09245|MCP_VZVD,Herpesviridae
sp|P09249|TYSY_VZVD,Herpesviridae
sp|P09253|AN_VZVD,Herpesviridae
sp|P09254|DUT_VZVD,Herpesviridae
sp|P09264|TEG1_VZVD,Herpesviridae
sp|P09266|ORF1_VZVD,Herpesviridae
sp|P09270|PRIM_VZVD,Herpesviridae
sp|P09271|TEG7_VZVD,Herpesviridae
sp|P09272|VP22_VZVD,Herpesviridae
sp|P09274|PAP_VZVD,Herpesviridae
sp|P09275|SHUT_VZVD,Herpesviridae
sp|P09277|ITP_VZVD,Herpesviridae
sp|P09280|NEC2_VZVD,Herpesviridae
sp|P09281|TRM2_VZVD,Herpesviridae
sp|P09282|UL32_VZVD,Herpesviridae
sp|P09283|NEC1_VZVD,Herpesviridae
sp|P09284|TRM1_VZVD,Herpesviridae
sp|P09287|CVC2_VZVD,Herpesviridae
sp|P09288|UL24_VZVD,Herpesviridae
sp|P09289|TEG4_VZVD,Herpesviridae
sp|P09291|TRX2_VZVD,Herpesviridae
sp|P09292|CVC1_VZVD,Herpesviridae
sp|P09293|CEP2_VZVD,Herpesviridae
sp|P09294|TRM3_VZVD,Herpesviridae
sp|P09295|TEG3_VZVD,Herpesviridae
sp|P09300|HEPA_VZVD,Herpesviridae
sp|P09301|CEP1_VZVD,Herpesviridae
sp|P09302|PORTL_VZVD,Herpesviridae
sp|P09303|HELI_VZVD,Herpesviridae
sp|P09307|UNG_VZVD,Herpesviridae
sp|P09311|US10_VZVD,Herpesviridae
sp|Q6F6K2|ORF0_VZVD,Herpesviridae
sp|P09267|ORF2_VZVD,Herpesviridae
sp|P09268|TEG6_VZVD,Herpesviridae
sp|P09273|MB43_VZVD,Herpesviridae
sp|P09285|ORF32_VZVD,Herpesviridae
sp|P09304|NP04_VZVD,Herpesviridae
sp|P09305|ORF57_VZVD,Herpesviridae
sp|P09306|NP03_VZVD,Herpesviridae
sp|P28276|ICP27_HHV2H,Herpesviridae
sp|P89462|RIR1_HHV2H,Herpesviridae
sp|P08666|GB_HHV2H,Herpesviridae
sp|P13287|US03_HHV2H,Herpesviridae
sp|P13291|GI_HHV2H,Herpesviridae
sp|P13292|US02_HHV2H,Herpesviridae
sp|P13294|CEP3_HHV2H,Herpesviridae
sp|P14345|ICP47_HHV2H,Herpesviridae
sp|P89436|UL13_HHV2H,Herpesviridae
sp|P89445|GH_HHV2H,Herpesviridae
sp|P89449|SCAF_HHV2H,Herpesviridae
sp|P89459|LTP_HHV2H,Herpesviridae
sp|P89475|GE_HHV2H,Herpesviridae
sp|P89477|US9_HHV2H,Herpesviridae
sp|P90493|ICP4_HHV2H,Herpesviridae
sp|Q89730|GC_HHV2H,Herpesviridae
sp|P13290|GG_HHV2H,Herpesviridae
sp|P13293|GJ_HHV2H,Herpesviridae
sp|P22485|GK_HHV2H,Herpesviridae
sp|P28278|GL_HHV2H,Herpesviridae
